"ilce","yil","sandik","secmen","oykullanan","gecerlioy","il"
"Seyhan",2011,1670,482157,407851,397828,1
"Seyhan",2007,1870,570517,440323,428998,1
"Seyhan",2002,2043,562664,412516,396148,1
"Seyhan",1999,2736,488810,394815,377190,1
"Seyhan",1995,1502,436945,355731,342748,1
"Seyhan",1991,1180,354377,275152,265319,1
"Yüreğir",2011,961,269449,225279,219153,1
"Yüreğir",2007,1002,298041,227655,220764,1
"Yüreğir",2002,1065,287629,211890,203230,1
"Yüreğir",1999,1383,246524,205774,195268,1
"Yüreğir",1995,760,217570,180052,172595,1
"Yüreğir",1991,631,181742,144633,139947,1
"Aladağ",2011,55,11920,10602,10345,1
"Aladağ",2007,55,13707,11850,11690,1
"Aladağ",2002,63,14651,11112,10883,1
"Aladağ",1999,82,13989,13005,12618,1
"Aladağ",1995,59,13347,11221,10986,1
"Aladağ",1991,41,11583,10357,10159,1
"Bahçe",1995,53,11798,10294,9984,1
"Bahçe",1991,43,11318,9672,9412,1
"Ceyhan",2011,422,105790,91781,89820,1
"Ceyhan",2007,347,94889,76576,74914,1
"Ceyhan",2002,453,107290,78431,75286,1
"Ceyhan",1999,496,98996,84590,81615,1
"Ceyhan",1995,350,95271,78739,76340,1
"Ceyhan",1991,282,88520,72303,70813,1
"Düziçi",1995,142,36235,31035,30362,1
"Düziçi",1991,97,31253,26783,26185,1
"Çukurova",2011,859,249574,216202,212932,1
"Feke",2011,69,13064,11006,10578,1
"Feke",2007,61,13264,11459,11166,1
"Feke",2002,71,13701,11457,11098,1
"Feke",1999,84,13002,12037,11506,1
"Feke",1995,69,12785,11078,10770,1
"Feke",1991,51,12295,10981,10637,1
"İmamoğlu",2011,82,20518,17770,17360,1
"İmamoğlu",2007,72,20876,17002,16654,1
"İmamoğlu",2002,90,22300,17503,16999,1
"İmamoğlu",1999,126,21015,18769,17934,1
"İmamoğlu",1995,86,21051,18109,17664,1
"İmamoğlu",1991,62,17862,15757,15471,1
"Kadirli",1995,268,71876,61205,59760,1
"Kadirli",1991,225,65936,56325,55296,1
"Karaisalı",2011,91,16323,14501,14176,1
"Karaisalı",2007,100,21965,18981,18701,1
"Karaisalı",2002,118,22740,18576,18162,1
"Karaisalı",1999,120,21249,19895,19280,1
"Karaisalı",1995,105,21571,19517,19212,1
"Karaisalı",1991,89,21640,19349,18898,1
"Karataş",2011,74,14989,13165,13026,1
"Karataş",2007,72,18798,15591,15313,1
"Karataş",2002,107,22481,16064,15419,1
"Karataş",1999,123,21465,18976,18336,1
"Karataş",1995,89,18996,15672,15238,1
"Karataş",1991,69,16505,13998,13760,1
"Kozan",2011,346,87173,74856,73144,1
"Kozan",2007,275,77237,65782,64566,1
"Kozan",2002,337,80847,64093,62140,1
"Kozan",1999,405,73181,64831,62326,1
"Kozan",1995,270,67334,59586,57997,1
"Kozan",1991,223,58810,51559,50509,1
"Osmaniye",1995,386,103860,83814,81314,1
"Osmaniye",1991,252,93847,71249,69817,1
"Pozantı",2011,65,14353,12780,12501,1
"Pozantı",2007,63,17097,14448,14168,1
"Pozantı",2002,72,16410,12367,11936,1
"Pozantı",1999,85,15728,14052,13459,1
"Pozantı",1995,60,14522,11510,11162,1
"Pozantı",1991,40,10649,9154,8923,1
"Saimbeyli",2011,56,11657,9280,8992,1
"Saimbeyli",2007,51,11940,9668,9533,1
"Saimbeyli",2002,62,11802,9088,8891,1
"Saimbeyli",1999,66,10913,9622,8892,1
"Saimbeyli",1995,51,10600,8829,8662,1
"Saimbeyli",1991,49,11468,9856,9581,1
"Sarıçam",2011,295,78749,68975,67401,1
"Tufanbeyli",2011,68,12971,10506,10240,1
"Tufanbeyli",2007,66,14665,11630,11405,1
"Tufanbeyli",2002,70,14782,10886,10565,1
"Tufanbeyli",1999,86,14089,12963,12539,1
"Tufanbeyli",1995,65,13662,11194,10881,1
"Tufanbeyli",1991,57,13924,11055,10785,1
"Yumurtalık",2011,61,13025,11447,11168,1
"Yumurtalık",2007,61,16232,13225,12984,1
"Yumurtalık",2002,77,16922,13159,12660,1
"Yumurtalık",1999,100,16551,15272,14737,1
"Yumurtalık",1995,64,13902,12443,12104,1
"Yumurtalık",1991,49,14174,12047,11792,1
"Merkez",2011,642,165921,144718,142436,2
"Merkez",2007,452,121109,102660,101110,2
"Merkez",2002,507,121920,91887,89704,2
"Merkez",1999,664,109676,93093,88082,2
"Merkez",1995,394,96354,81775,78592,2
"Merkez",1991,286,84053,66499,65015,2
"Besni",2011,235,51614,42194,41223,2
"Besni",2007,206,50362,40454,39720,2
"Besni",2002,224,51448,35637,34425,2
"Besni",1999,274,48364,42714,40611,2
"Besni",1995,184,40822,32515,31326,2
"Besni",1991,131,34890,29307,28441,2
"Çelikhan",2011,58,9994,9340,9153,2
"Çelikhan",2007,52,9760,8547,8428,2
"Çelikhan",2002,44,8901,7672,7521,2
"Çelikhan",1999,59,8481,7683,7282,2
"Çelikhan",1995,58,9504,8212,7858,2
"Çelikhan",1991,47,9404,7931,7714,2
"Gerger",2011,69,13686,10448,10313,2
"Gerger",2007,57,10720,7563,7437,2
"Gerger",2002,64,11688,7967,7661,2
"Gerger",1999,66,11464,9656,9090,2
"Gerger",1995,62,11083,8363,7939,2
"Gerger",1991,57,12352,9709,9118,2
"Gölbaşı",2011,130,32134,27159,26647,2
"Gölbaşı",2007,114,30402,24993,24538,2
"Gölbaşı",2002,129,31078,22661,22020,2
"Gölbaşı",1999,142,29182,25412,24215,2
"Gölbaşı",1995,107,26337,21707,20894,2
"Gölbaşı",1991,87,24502,19112,18615,2
"Kahta",2011,304,66455,54640,53882,2
"Kahta",2007,234,52751,42865,42387,2
"Kahta",2002,270,51061,36330,35390,2
"Kahta",1999,264,45893,39481,37542,2
"Kahta",1995,210,40739,34202,33010,2
"Kahta",1991,157,36286,27915,27013,2
"Samsat",2011,31,5889,5003,4938,2
"Samsat",2007,27,5960,4519,4406,2
"Samsat",2002,30,6123,4326,4254,2
"Samsat",1999,32,6348,5598,5345,2
"Samsat",1995,27,5460,4828,4667,2
"Samsat",1991,22,5113,4444,4341,2
"Sincik",2011,54,11846,10779,10752,2
"Sincik",2007,46,10262,9143,9082,2
"Sincik",2002,52,10487,7357,7241,2
"Sincik",1999,65,10021,8587,8267,2
"Sincik",1995,51,8882,7516,7345,2
"Sincik",1991,44,7745,6633,6436,2
"Tut",2011,34,7197,5864,5753,2
"Tut",2007,29,7067,5934,5837,2
"Tut",2002,39,7467,5594,5484,2
"Tut",1999,50,7097,6529,6126,2
"Tut",1995,31,6098,5166,5004,2
"Tut",1991,25,5619,4607,4487,2
"Merkez",2011,648,167463,154397,151540,3
"Merkez",2007,459,127573,116780,114392,3
"Merkez",2002,474,114497,102085,98501,3
"Merkez",1999,565,103459,95772,88316,3
"Merkez",1995,374,100140,90545,87846,3
"Merkez",1991,270,78198,69101,67123,3
"Başmakçı",2011,39,8251,7491,7234,3
"Başmakçı",2007,37,8010,7261,7034,3
"Başmakçı",2002,43,8041,7191,6773,3
"Başmakçı",1999,49,8083,7570,7152,3
"Başmakçı",1995,30,7980,7355,7103,3
"Başmakçı",1991,30,7627,7103,6891,3
"Bayat",2011,27,5678,5043,4848,3
"Bayat",2007,25,5499,5014,4833,3
"Bayat",2002,27,5345,4748,4514,3
"Bayat",1999,32,5297,5057,4542,3
"Bayat",1995,25,5193,4815,4629,3
"Bayat",1991,24,5077,4510,4307,3
"Bolvadin",2011,149,31421,28218,27455,3
"Bolvadin",2007,129,28563,26164,25559,3
"Bolvadin",2002,143,28523,24399,23430,3
"Bolvadin",1999,158,27463,25089,23155,3
"Bolvadin",1995,114,27224,24282,23460,3
"Bolvadin",1991,100,24916,21377,20598,3
"Çay",2011,114,24258,21889,21216,3
"Çay",2007,100,23168,20804,20053,3
"Çay",2002,115,24566,20805,19703,3
"Çay",1999,135,23729,22248,20876,3
"Çay",1995,98,22152,19913,19216,3
"Çay",1991,80,20448,18228,17566,3
"Çobanlar",2011,35,8196,7698,7479,3
"Çobanlar",2007,29,7448,6959,6681,3
"Çobanlar",2002,30,6557,6084,5798,3
"Çobanlar",1999,32,6399,6235,5755,3
"Çobanlar",1995,26,5719,5318,5181,3
"Çobanlar",1991,35,10394,9595,9189,3
"Dazkırı",2011,41,8424,7794,7591,3
"Dazkırı",2007,35,8131,7405,7261,3
"Dazkırı",2002,41,8100,7210,6901,3
"Dazkırı",1999,45,7842,7438,7116,3
"Dazkırı",1995,38,8032,7372,7188,3
"Dazkırı",1991,30,7677,7178,7016,3
"Dinar",2011,173,35114,31012,29995,3
"Dinar",2007,162,34011,30095,29125,3
"Dinar",2002,181,34885,29551,28145,3
"Dinar",1999,205,33567,31108,29366,3
"Dinar",1995,165,33116,28021,26365,3
"Dinar",1991,138,33395,29245,28193,3
"Emirdağ",2011,162,30550,23859,23223,3
"Emirdağ",2007,141,30357,24865,24140,3
"Emirdağ",2002,157,29573,23236,22287,3
"Emirdağ",1999,175,29065,26082,24220,3
"Emirdağ",1995,143,28786,25126,24285,3
"Emirdağ",1991,127,29243,24805,24001,3
"Evciler",2011,27,6030,5156,5026,3
"Evciler",2007,22,5845,5277,5178,3
"Evciler",2002,24,5456,4798,4674,3
"Evciler",1999,31,5432,5119,4855,3
"Evciler",1995,22,5336,4711,4583,3
"Evciler",1991,20,5189,4720,4601,3
"Hocalar",2011,37,7976,6943,6670,3
"Hocalar",2007,32,8047,7215,7011,3
"Hocalar",2002,40,8231,6674,6297,3
"Hocalar",1999,43,8102,7613,7081,3
"Hocalar",1995,31,7572,6558,6368,3
"Hocalar",1991,36,8808,7842,7452,3
"İhsaniye",2011,93,19230,18093,17565,3
"İhsaniye",2007,90,20033,18855,18517,3
"İhsaniye",2002,97,19353,17597,16954,3
"İhsaniye",1999,112,19828,19249,17907,3
"İhsaniye",1995,82,17193,16102,15712,3
"İhsaniye",1991,63,15703,14528,14046,3
"İscehisar",2011,66,15132,14321,14031,3
"İscehisar",2007,53,13243,12605,12345,3
"İscehisar",2002,58,12545,11475,11130,3
"İscehisar",1999,65,12369,11820,10880,3
"İscehisar",1995,47,10978,10111,9841,3
"İscehisar",1991,36,10045,9029,8742,3
"Kızılören",2011,11,2233,2034,1960,3
"Kızılören",2007,11,2559,2250,2201,3
"Kızılören",2002,14,2763,2307,2220,3
"Kızılören",1999,16,2894,2787,2646,3
"Kızılören",1995,12,2683,2443,2354,3
"Kızılören",1991,19,4227,3853,3666,3
"Sandıklı",2011,187,42849,36524,35295,3
"Sandıklı",2007,158,38711,34701,33679,3
"Sandıklı",2002,182,39320,34165,32396,3
"Sandıklı",1999,213,37493,34972,33128,3
"Sandıklı",1995,151,37256,34054,32779,3
"Sandıklı",1991,120,32810,29208,28112,3
"Sinanpaşa",2011,142,30029,27132,26206,3
"Sinanpaşa",2007,134,31430,27275,26483,3
"Sinanpaşa",2002,156,30997,26164,24817,3
"Sinanpaşa",1999,173,31816,29873,27044,3
"Sinanpaşa",1995,107,28338,25192,24363,3
"Sinanpaşa",1991,95,26730,23461,22305,3
"Sultandağı",2011,65,13660,12364,11862,3
"Sultandağı",2007,66,14951,13393,12778,3
"Sultandağı",2002,74,14350,12550,11565,3
"Sultandağı",1999,85,14584,13665,12657,3
"Sultandağı",1995,63,13540,12309,11854,3
"Sultandağı",1991,52,13010,11638,11187,3
"Şuhut",2011,126,28506,26446,25545,3
"Şuhut",2007,112,28306,25815,25029,3
"Şuhut",2002,128,28235,24382,23331,3
"Şuhut",1999,149,27202,25513,24080,3
"Şuhut",1995,116,27108,23769,22917,3
"Şuhut",1991,91,24947,22071,21035,3
"Merkez",2011,319,74891,58889,57163,4
"Merkez",2007,226,53029,41628,40735,4
"Merkez",2002,327,57501,39943,38091,4
"Merkez",1999,300,49606,39908,37442,4
"Merkez",1995,215,46715,35128,32813,4
"Merkez",1991,184,45154,31130,29499,4
"Diyadin",2011,119,22083,15552,14946,4
"Diyadin",2007,95,18967,13166,12890,4
"Diyadin",2002,95,17175,12950,12324,4
"Diyadin",1999,107,16113,13386,12292,4
"Diyadin",1995,79,14653,11448,11028,4
"Diyadin",1991,70,14785,11456,10776,4
"Doğubayazıt",2011,252,60058,43484,42286,4
"Doğubayazıt",2007,183,46954,30869,30260,4
"Doğubayazıt",2002,205,46775,30823,29630,4
"Doğubayazıt",1999,255,40441,30688,28468,4
"Doğubayazıt",1995,161,35747,25292,24300,4
"Doğubayazıt",1991,135,34099,25129,23839,4
"Eleşkirt",2011,113,21699,17386,17059,4
"Eleşkirt",2007,98,18302,15039,14873,4
"Eleşkirt",2002,100,18018,13016,12435,4
"Eleşkirt",1999,104,16571,13453,12792,4
"Eleşkirt",1995,91,15619,12492,12078,4
"Eleşkirt",1991,84,16189,12045,11530,4
"Hamur",2011,65,10841,8751,8597,4
"Hamur",2007,54,9880,8194,8090,4
"Hamur",2002,58,9675,7838,7614,4
"Hamur",1999,55,8588,7703,7283,4
"Hamur",1995,56,8012,7048,6912,4
"Hamur",1991,49,8291,6916,6778,4
"Patnos",2011,265,58903,40657,39327,4
"Patnos",2007,191,45530,35793,35137,4
"Patnos",2002,205,34854,28851,28127,4
"Patnos",1999,205,31610,27334,26029,4
"Patnos",1995,157,28650,24989,24087,4
"Patnos",1991,123,25480,23360,22708,4
"Taşlıçay",2011,61,11655,9012,8711,4
"Taşlıçay",2007,56,10605,8369,8244,4
"Taşlıçay",2002,65,10398,7779,7448,4
"Taşlıçay",1999,65,9890,8440,7997,4
"Taşlıçay",1995,54,8895,7169,6917,4
"Taşlıçay",1991,52,9654,7525,7227,4
"Tutak",2011,114,18569,14636,14405,4
"Tutak",2007,97,15353,12679,12517,4
"Tutak",2002,113,15698,12436,12002,4
"Tutak",1999,113,14311,11966,11491,4
"Tutak",1995,91,12985,10471,10166,4
"Tutak",1991,91,13825,10610,10238,4
"Merkez",2011,397,92769,85563,84205,5
"Merkez",2007,339,90140,74372,73225,5
"Merkez",2002,385,91652,72203,70545,5
"Merkez",1999,447,80766,71131,68297,5
"Merkez",1995,332,79544,69668,67132,5
"Merkez",1991,253,70765,60825,59185,5
"Göynücek",2011,56,8693,7976,7822,5
"Göynücek",2007,55,10507,8596,8446,5
"Göynücek",2002,67,12003,8827,8625,5
"Göynücek",1999,79,11820,10946,10468,5
"Göynücek",1995,65,11163,9603,9367,5
"Göynücek",1991,59,11773,10144,9776,5
"Gümüşhacıköy",2011,98,19518,18111,17734,5
"Gümüşhacıköy",2007,89,19860,18405,18151,5
"Gümüşhacıköy",2002,104,22710,19229,18786,5
"Gümüşhacıköy",1999,120,21976,20386,19498,5
"Gümüşhacıköy",1995,90,22669,20182,19687,5
"Gümüşhacıköy",1991,89,23086,19975,19452,5
"Hamamözü",2011,24,3439,3179,3115,5
"Hamamözü",2007,24,3716,3463,3393,5
"Hamamözü",2002,26,4335,3660,3539,5
"Hamamözü",1999,27,4261,3996,3786,5
"Hamamözü",1995,23,4561,4056,3926,5
"Hamamözü",1991,24,4778,4174,3994,5
"Merzifon",2011,233,51117,46722,45872,5
"Merzifon",2007,193,47079,42219,41644,5
"Merzifon",2002,214,48149,39251,38395,5
"Merzifon",1999,244,42776,38478,36950,5
"Merzifon",1995,179,41455,36738,35737,5
"Merzifon",1991,153,40725,34635,33886,5
"Suluova",2011,145,33585,30669,30168,5
"Suluova",2007,129,33004,28211,27701,5
"Suluova",2002,145,33138,27005,26434,5
"Suluova",1999,187,30966,27826,26481,5
"Suluova",1995,127,30400,26423,25444,5
"Suluova",1991,99,27368,23623,23083,5
"Taşova",2011,119,25226,22591,22045,5
"Taşova",2007,128,29342,22637,22117,5
"Taşova",2002,160,34272,23236,22494,5
"Taşova",1999,200,33871,29960,28552,5
"Taşova",1995,139,29470,24454,23550,5
"Taşova",1991,118,30053,24699,23589,5
"Altındağ",2011,879,252840,223818,219778,6
"Altındağ",2007,790,243555,206450,200517,6
"Altındağ",2002,935,258139,214107,204319,6
"Altındağ",1999,1235,232419,205282,193622,6
"Altındağ",1995,921,244896,211369,201149,6
"Altındağ",1991,845,232277,204136,197506,6
"Çankaya",2011,2118,612270,535942,527826,6
"Çankaya",2007,1906,585000,477257,468164,6
"Çankaya",2002,2030,585303,459345,447465,6
"Çankaya",1999,2614,523790,452842,438477,6
"Çankaya",1995,1835,529747,453215,438753,6
"Çankaya",1991,1556,462092,392272,385344,6
"Etimesgut",2011,885,261444,231756,227860,6
"Etimesgut",2007,541,164661,142577,139365,6
"Etimesgut",2002,372,107477,88545,85519,6
"Etimesgut",1999,369,75780,65419,62937,6
"Etimesgut",1995,168,50463,43397,41462,6
"Etimesgut",1991,99,30080,26340,25680,6
"Gölbaşı",2011,249,66629,59436,57999,6
"Gölbaşı",2007,168,48543,41616,40470,6
"Gölbaşı",2002,154,39968,32885,31603,6
"Gölbaşı",1999,175,33889,30876,29583,6
"Gölbaşı",1995,114,29575,25291,24253,6
"Gölbaşı",1991,89,23287,20252,19872,6
"Keçiören",2011,2002,586433,521192,512976,6
"Keçiören",2007,1697,520967,450364,439029,6
"Keçiören",2002,1574,456886,382549,368971,6
"Keçiören",1999,1979,393838,348610,333518,6
"Keçiören",1995,1289,369695,321607,307759,6
"Keçiören",1991,1071,307729,271535,265997,6
"Mamak",2011,1310,380263,342150,335281,6
"Mamak",2007,1027,315097,274090,266972,6
"Mamak",2002,1011,285022,243633,234625,6
"Mamak",1999,1295,251597,223356,212555,6
"Mamak",1995,911,260208,226635,215491,6
"Mamak",1991,823,235624,206940,200231,6
"Sincan",2011,1082,311235,279913,274404,6
"Sincan",2007,784,234853,206618,201552,6
"Sincan",2002,625,179875,152891,147101,6
"Sincan",1999,660,133445,118004,112977,6
"Sincan",1995,314,95518,84739,81029,6
"Sincan",1991,173,55843,48556,47324,6
"Yenimahalle",2011,1653,483872,432229,426171,6
"Yenimahalle",2007,1340,411182,352881,346192,6
"Yenimahalle",2002,1371,396173,324544,313064,6
"Yenimahalle",1999,1673,336960,296500,286251,6
"Yenimahalle",1995,1007,299809,257027,245844,6
"Yenimahalle",1991,701,206498,179430,175259,6
"Akyurt",2011,73,17243,15903,15627,6
"Akyurt",2007,55,13896,12905,12579,6
"Akyurt",2002,52,11210,10208,9850,6
"Akyurt",1999,57,9794,9162,8842,6
"Akyurt",1995,39,8180,7511,7256,6
"Akyurt",1991,34,6603,6120,5960,6
"Ayaş",2011,50,9997,9223,9037,6
"Ayaş",2007,52,12127,11032,10850,6
"Ayaş",2002,64,12163,10711,10276,6
"Ayaş",1999,69,12179,11464,11132,6
"Ayaş",1995,51,10101,9339,9080,6
"Ayaş",1991,48,9441,8966,8779,6
"Bala",2011,80,13932,11529,11237,6
"Bala",2007,99,22292,18388,18052,6
"Bala",2002,118,21628,17172,16724,6
"Bala",1999,128,21409,19636,18945,6
"Bala",1995,107,21395,17822,17303,6
"Bala",1991,97,20255,17289,16890,6
"Beypazarı",2011,175,34530,31082,30426,6
"Beypazarı",2007,157,32089,29337,28489,6
"Beypazarı",2002,162,30329,26981,25855,6
"Beypazarı",1999,193,28577,26694,25432,6
"Beypazarı",1995,145,26906,24968,24126,6
"Beypazarı",1991,134,25036,23235,22508,6
"Çamlıdere",2011,52,5730,4970,4837,6
"Çamlıdere",2007,56,8745,7379,7250,6
"Çamlıdere",2002,66,9938,7653,7451,6
"Çamlıdere",1999,72,11056,10303,9911,6
"Çamlıdere",1995,61,9461,8187,7971,6
"Çamlıdere",1991,56,8073,7222,6949,6
"Çubuk",2011,243,54360,50089,49258,6
"Çubuk",2007,214,49757,46539,45437,6
"Çubuk",2002,206,43420,39535,38412,6
"Çubuk",1999,230,37872,35272,33855,6
"Çubuk",1995,161,33333,30874,29553,6
"Çubuk",1991,145,27395,25340,24467,6
"Elmadağ",2011,118,30026,27747,27151,6
"Elmadağ",2007,119,31878,29103,28156,6
"Elmadağ",2002,113,28109,25104,23921,6
"Elmadağ",1999,130,25287,23968,23081,6
"Elmadağ",1995,99,23963,21869,20808,6
"Elmadağ",1991,84,20369,18673,18238,6
"Evren",2011,16,2499,1900,1829,6
